id,l1_code,l1_name,l1_name_en,l2_code,l2_name,l2_name_en,l3_code,l3_name,l3_name_en,natural_accounting_class,classification_code,full_code,cap_threshold,cap_threshold_large_entity,useful_life_min,useful_life_max
cls_01010101,01,الأراضي,Land,01,أراضي إدارية,Administrative lands,01,أراضي إدارية,Administrative lands,01,010101,01010101,,,,
cls_01010103,01,الأراضي,Land,01,أراضي إدارية,Administrative lands,01,أراضي إدارية,Administrative lands,03,010101,01010103,,,,
cls_01010104,01,الأراضي,Land,01,أراضي إدارية,Administrative lands,01,أراضي إدارية,Administrative lands,04,010101,01010104,,,,
cls_01020101,01,الأراضي,Land,02,أرض زراعية,Agricultural Land,01,أرض زراعية,Agricultural Land,01,010201,01020101,,,,
cls_01020103,01,الأراضي,Land,02,أرض زراعية,Agricultural Land,01,أرض زراعية,Agricultural Land,03,010201,01020103,,,,
cls_01020104,01,الأراضي,Land,02,أرض زراعية,Agricultural Land,01,أرض زراعية,Agricultural Land,04,010201,01020104,,,,
cls_01030101,01,الأراضي,Land,03,أراضي تجارية,Commercial lands,01,أراضي تجارية,Commercial lands,01,010301,01030101,,,,
cls_01030103,01,الأراضي,Land,03,أراضي تجارية,Commercial lands,01,أراضي تجارية,Commercial lands,03,010301,01030103,,,,
cls_01030104,01,الأراضي,Land,03,أراضي تجارية,Commercial lands,01,أراضي تجارية,Commercial lands,04,010301,01030104,,,,
cls_01040101,01,الأراضي,Land,04,أرض تراثية,Heritage Land,01,أرض تراثية,Heritage Land,01,010401,01040101,,,,
cls_01040103,01,الأراضي,Land,04,أرض تراثية,Heritage Land,01,أرض تراثية,Heritage Land,03,010401,01040103,,,,
cls_01040104,01,الأراضي,Land,04,أرض تراثية,Heritage Land,01,أرض تراثية,Heritage Land,04,010401,01040104,,,,
cls_01050101,01,الأراضي,Land,05,أرض صناعية,Industrial Land,01,أرض صناعية,Industrial Land,01,010501,01050101,,,,
cls_01050103,01,الأراضي,Land,05,أرض صناعية,Industrial Land,01,أرض صناعية,Industrial Land,03,010501,01050103,,,,
cls_01050104,01,الأراضي,Land,05,أرض صناعية,Industrial Land,01,أرض صناعية,Industrial Land,04,010501,01050104,,,,
cls_01060101,01,الأراضي,Land,06,أراضي الموارد الطبيعية,Land of Natural Resources,01,أراضي الموارد الطبيعية,Land of Natural Resources,01,010601,01060101,,,,
cls_01060103,01,الأراضي,Land,06,أراضي الموارد الطبيعية,Land of Natural Resources,01,أراضي الموارد الطبيعية,Land of Natural Resources,03,010601,01060103,,,,
cls_01060104,01,الأراضي,Land,06,أراضي الموارد الطبيعية,Land of Natural Resources,01,أراضي الموارد الطبيعية,Land of Natural Resources,04,010601,01060104,,,,
cls_01070101,01,الأراضي,Land,07,الأمن القومي,National Security,01,أراضي الأمن القومي,National Security,01,010701,01070101,,,,
cls_01070103,01,الأراضي,Land,07,الأمن القومي,National Security,01,أراضي الأمن القومي,National Security,03,010701,01070103,,,,
cls_01070104,01,الأراضي,Land,07,الأمن القومي,National Security,01,أراضي الأمن القومي,National Security,04,010701,01070104,,,,
cls_01080101,01,الأراضي,Land,08,أرضي أخرى,Other Land,01,أرضي أخرى,Other Land,01,010801,01080101,,,,
cls_01080103,01,الأراضي,Land,08,أرضي أخرى,Other Land,01,أرضي أخرى,Other Land,03,010801,01080103,,,,
cls_01080104,01,الأراضي,Land,08,أرضي أخرى,Other Land,01,أرضي أخرى,Other Land,04,010801,01080104,,,,
cls_01090101,01,الأراضي,Land,09,أراضي سكنية,Residential lands,01,أراضي سكنية,Residential lands,01,010901,01090101,,,,
cls_01090103,01,الأراضي,Land,09,أراضي سكنية,Residential lands,01,أراضي سكنية,Residential lands,03,010901,01090103,,,,
cls_01090104,01,الأراضي,Land,09,أراضي سكنية,Residential lands,01,أراضي سكنية,Residential lands,04,010901,01090104,,,,
cls_01100101,01,الأراضي,Land,10,أراضي النقل البري,Transport land,01,أرض مستخدمة للطرق,Land Used For Road,01,011001,01100101,,,,
cls_01100103,01,الأراضي,Land,10,أراضي النقل البري,Transport land,01,أرض مستخدمة للطرق,Land Used For Road,03,011001,01100103,,,,
cls_01100104,01,الأراضي,Land,10,أراضي النقل البري,Transport land,01,أرض مستخدمة للطرق,Land Used For Road,04,011001,01100104,,,,
cls_01110101,01,الأراضي,Land,11,أرض خالية,Vacant Land,01,أرض خالية,Vacant Land,01,011101,01110101,,,,
cls_01110103,01,الأراضي,Land,11,أرض خالية,Vacant Land,01,أرض خالية,Vacant Land,03,011101,01110103,,,,
cls_01110104,01,الأراضي,Land,11,أرض خالية,Vacant Land,01,أرض خالية,Vacant Land,04,011101,01110104,,,,
cls_02010101,02,تحسين الأراضي المستأجرة,Land Leasehold Improvement,01,تحسين الأراضي المستأجرة,Land Leasehold Improvement,01,تحسين الأراضي المستأجرة,Land Leasehold Improvement,01,020101,02010101,10000,,10,30
cls_03010101,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,01,مباني سكنية دائمة متعددة الاشغال - تشطيبات,Permanent Multiple Occupancy Accommodation Buildings - Interior,01,030101,03010101,,,15,25
cls_03010103,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,01,مباني سكنية دائمة متعددة الاشغال - تشطيبات,Permanent Multiple Occupancy Accommodation Buildings - Interior,03,030101,03010103,,,15,25
cls_03010104,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,01,مباني سكنية دائمة متعددة الاشغال - تشطيبات,Permanent Multiple Occupancy Accommodation Buildings - Interior,04,030101,03010104,,,15,25
cls_03010201,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,02,مباني سكنية دائمة متعددة الاشغال - خدمات,Permanent Multiple Occupancy Accommodation Buildings - Services,01,030102,03010201,,,20,30
cls_03010203,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,02,مباني سكنية دائمة متعددة الاشغال - خدمات,Permanent Multiple Occupancy Accommodation Buildings - Services,03,030102,03010203,,,20,30
cls_03010204,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,02,مباني سكنية دائمة متعددة الاشغال - خدمات,Permanent Multiple Occupancy Accommodation Buildings - Services,04,030102,03010204,,,20,30
cls_03010301,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,03,مباني سكنية دائمة متعددة الاشغال - هيكل البناء,Permanent Multiple Occupancy Accommodation Buildings - Structure,01,030103,03010301,,,40,50
cls_03010303,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,03,مباني سكنية دائمة متعددة الاشغال - هيكل البناء,Permanent Multiple Occupancy Accommodation Buildings - Structure,03,030103,03010303,,,40,50
cls_03010304,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,03,مباني سكنية دائمة متعددة الاشغال - هيكل البناء,Permanent Multiple Occupancy Accommodation Buildings - Structure,04,030103,03010304,,,40,50
cls_03010401,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,04,سكن دائمة متعددة الاشغال - وحدة,Permanent Multiple Occupancy Accommodation Unit,01,030104,03010401,,,30,50
cls_03010403,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,04,سكن دائمة متعددة الاشغال - وحدة,Permanent Multiple Occupancy Accommodation Unit,03,030104,03010403,,,30,50
cls_03010404,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,04,سكن دائمة متعددة الاشغال - وحدة,Permanent Multiple Occupancy Accommodation Unit,04,030104,03010404,,,30,50
cls_03010501,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,05,مباني سكنية دائمة ذات اشغال احادي  - تشطيبات,Permanent Single Occupancy Accommodation Buildings - Interior,01,030105,03010501,,,15,25
cls_03010503,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,05,مباني سكنية دائمة ذات اشغال احادي  - تشطيبات,Permanent Single Occupancy Accommodation Buildings - Interior,03,030105,03010503,,,15,25
cls_03010504,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,05,مباني سكنية دائمة ذات اشغال احادي  - تشطيبات,Permanent Single Occupancy Accommodation Buildings - Interior,04,030105,03010504,,,15,25
cls_03010601,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,06,مباني سكنية دائمة ذات اشغال احادي - خدمات,Permanent Single Occupancy Accommodation Buildings - Services,01,030106,03010601,,,20,30
cls_03010603,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,06,مباني سكنية دائمة ذات اشغال احادي - خدمات,Permanent Single Occupancy Accommodation Buildings - Services,03,030106,03010603,,,20,30
cls_03010604,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,06,مباني سكنية دائمة ذات اشغال احادي - خدمات,Permanent Single Occupancy Accommodation Buildings - Services,04,030106,03010604,,,20,30
cls_03010701,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,07,مباني سكنية دائمة ذات اشغال احادي - هيكل البناء,Permanent Single Occupancy Accommodation Buildings - Structure,01,030107,03010701,,,40,50
cls_03010703,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,07,مباني سكنية دائمة ذات اشغال احادي - هيكل البناء,Permanent Single Occupancy Accommodation Buildings - Structure,03,030107,03010703,,,40,50
cls_03010704,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,07,مباني سكنية دائمة ذات اشغال احادي - هيكل البناء,Permanent Single Occupancy Accommodation Buildings - Structure,04,030107,03010704,,,40,50
cls_03010801,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,08,سكنية دائمة ذات اشغال احادي - وحدة,Permanent Single Occupancy Accommodation Unit,01,030108,03010801,,,30,40
cls_03010803,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,08,سكنية دائمة ذات اشغال احادي - وحدة,Permanent Single Occupancy Accommodation Unit,03,030108,03010803,,,30,40
cls_03010804,03,مباني سكنية,Residential Buildings,01,مباني سكنية دائمة,Permanent Residential Buildings,08,سكنية دائمة ذات اشغال احادي - وحدة,Permanent Single Occupancy Accommodation Unit,04,030108,03010804,,,30,40
cls_03020101,03,مباني سكنية,Residential Buildings,02,مباني سكنية مؤقتة,Temporary Residential Buildings,01,مباني سكنية مؤقتة,Temporary Residential Buildings,01,030201,03020101,10000,,15,25
cls_03020103,03,مباني سكنية,Residential Buildings,02,مباني سكنية مؤقتة,Temporary Residential Buildings,01,مباني سكنية مؤقتة,Temporary Residential Buildings,03,030201,03020103,10000,,15,25
cls_03020104,03,مباني سكنية,Residential Buildings,02,مباني سكنية مؤقتة,Temporary Residential Buildings,01,مباني سكنية مؤقتة,Temporary Residential Buildings,04,030201,03020104,10000,,15,25
cls_04010101,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,01,مباني إدارية دائمة - تشطيبات,Permanent Admin Building - Interior,01,040101,04010101,,,,
cls_04010103,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,01,مباني إدارية دائمة - تشطيبات,Permanent Admin Building - Interior,03,040101,04010103,,,,
cls_04010104,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,01,مباني إدارية دائمة - تشطيبات,Permanent Admin Building - Interior,04,040101,04010104,,,,
cls_04010201,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,02,مباني إدارية دائمة - خدمات,Permanent Admin Building - Services,01,040102,04010201,,,,
cls_04010203,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,02,مباني إدارية دائمة - خدمات,Permanent Admin Building - Services,03,040102,04010203,,,,
cls_04010204,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,02,مباني إدارية دائمة - خدمات,Permanent Admin Building - Services,04,040102,04010204,,,,
cls_04010301,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,03,مباني إدارية دائمة - هيكل البناء,Permanent Admin Building - Structure,01,040103,04010301,,,,
cls_04010303,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,03,مباني إدارية دائمة - هيكل البناء,Permanent Admin Building - Structure,03,040103,04010303,,,,
cls_04010304,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,03,مباني إدارية دائمة - هيكل البناء,Permanent Admin Building - Structure,04,040103,04010304,,,,
cls_04010401,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,04,مبنى إداري دائم - وحدة,Permanent Admin Building Unit,01,040104,04010401,,,30,50
cls_04010403,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,04,مبنى إداري دائم - وحدة,Permanent Admin Building Unit,03,040104,04010403,,,30,50
cls_04010404,04,المباني غير السكنية,Non-residential Buildings,01,مباني إدارية دائمة,Permanent Admin Building,04,مبنى إداري دائم - وحدة,Permanent Admin Building Unit,04,040104,04010404,,,30,50
cls_04020101,04,المباني غير السكنية,Non-residential Buildings,02,مباني الزراعة والصيد الدائمة,Permanent Agricultural and Fishing Buildings,01,المباني الزراعية والصيد الدائمة,Permanent Agricultural and Fishing Buildings,01,040201,04020101,,,40,50
cls_04020103,04,المباني غير السكنية,Non-residential Buildings,02,مباني الزراعة والصيد الدائمة,Permanent Agricultural and Fishing Buildings,01,المباني الزراعية والصيد الدائمة,Permanent Agricultural and Fishing Buildings,03,040201,04020103,,,40,50
